filename,title,youtube_id,category,confidence_basis,reason,cospeakers,topics,char_count,word_count
Becca Dukes： Youngevity Families! Families Raised On A Nutritional Foundation! DWD 2⧸5⧸26-eIxAMvZ0KwM.en.vtt,Becca Dukes： Youngevity Families! Families Raised On A Nutritional Foundation! DWD 2⧸5⧸26,eIxAMvZ0KwM,Moderate,content-peek,Wallach cues (1),,diet/nutrition; longevity; youngevity-product,56625,10788
Ben Fuchs - Ohm My： Are We Living Batteries on Borrowed Time？ Don't Miss This Electrifying Q&A-KZo6ClprDu4.en.vtt,Ben Fuchs - Ohm My： Are We Living Batteries on Borrowed Time？ Don't Miss This Electrifying Q&A,KZo6ClprDu4,Moderate,content-peek,Wallach cues (1),,diet/nutrition; youngevity-product,69492,12990
Ben Fuchs Interviews Dr Joel Wallach-np_CwE-XYfo.en.vtt,Ben Fuchs Interviews Dr Joel Wallach,np_CwE-XYfo,Moderate,filename,Wallach with co-speaker,Dr. Ben Fuchs,diabetes; cardiovascular; diet/nutrition; skin/hair; muscles; lecture-flagship,107711,19630
BeneYou ElectroFuel-PXkIMVOfUYY.en.vtt,BeneYou ElectroFuel,PXkIMVOfUYY,Exclude,filename,Primary speaker: BeneYou ElectroFuel product video,BeneYou ElectroFuel product video,magnesium; energy/fatigue; youngevity-product,955,154
Best of Dead Doctors Don't Lie -- Part 1-OSOYdJ0Sghk.en.vtt,Best of Dead Doctors Don't Lie -- Part 1,OSOYdJ0Sghk,High,filename,Known Wallach show/lecture,,minerals; diet/nutrition; skin/hair; bones/joints; lecture-flagship,39515,7359
Better Health Challenge Q2 2019 Semi-Finalist Chester Horne-we6Gvfvpl90.en.vtt,Better Health Challenge Q2 2019 Semi-Finalist Chester Horne,we6Gvfvpl90,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,obesity; diet/nutrition; youngevity-product,1266,260
Better Health Challenge Q2 2019 Semi-Finalist Sylvia Harris-qdFjc_GnsAo.en.vtt,Better Health Challenge Q2 2019 Semi-Finalist Sylvia Harris,qdFjc_GnsAo,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,diabetes; obesity; cancer,1410,296
Better Health Challenge Q2 2019 Semi-Finalist Tom Sharp-d8HyPAjN0rQ.en.vtt,Better Health Challenge Q2 2019 Semi-Finalist Tom Sharp,d8HyPAjN0rQ,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,obesity; cardiovascular; stroke,1267,267
Better Health Challenge Semi-Finalist Q1 2019 Karen Gray!-U_JybEl9Xnk.en.vtt,Better Health Challenge Semi-Finalist Q1 2019 Karen Gray!,U_JybEl9Xnk,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,obesity,1765,352
Better Health Challenge Semi-Finalist Q1 2019 Lisha Thompson!-sUrUVyAkJKI.en.vtt,Better Health Challenge Semi-Finalist Q1 2019 Lisha Thompson!,sUrUVyAkJKI,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,obesity; skin/hair; energy/fatigue,1243,262
Better Health Challenge Semi-Finalist Q1 2019 Sheyenne Kreamer!-IJrLyhf0l0M.en.vtt,Better Health Challenge Semi-Finalist Q1 2019 Sheyenne Kreamer!,IJrLyhf0l0M,Exclude,filename,Primary speaker: Better Health Challenge testimonial,Better Health Challenge testimonial,obesity; longevity; pregnancy/birth,1261,267
Better Health Fitness Challenge-1hWXIZmd_XA.en.vtt,Better Health Fitness Challenge,1hWXIZmd_XA,Low,filename,No speaker cue in title,,obesity; longevity,1084,193
Better Than Ozempic？ 3 Steps to Quiet ＂Food Noise＂ Naturally-4obY2cTLFFQ.en.vtt,Better Than Ozempic？ 3 Steps to Quiet ＂Food Noise＂ Naturally,4obY2cTLFFQ,Low,filename,No speaker cue in title,,obesity; diet/nutrition; muscles; brain/cognitive; hormones/reproductive,7444,1338
Beyond the RX： Why Doctors Are Finally ＂Prescribing＂ Fasting and Yoga PBB 6⧸1⧸26-vz1YQhKT_Pg.en.vtt,Beyond the RX： Why Doctors Are Finally ＂Prescribing＂ Fasting and Yoga PBB 6⧸1⧸26,vz1YQhKT_Pg,Low,filename,No speaker cue in title,,cancer; diet/nutrition; longevity,57952,10540
Black Gene Lies 2 - Dr. Joel Wallach-csNADGxHRhU.en.vtt,Black Gene Lies 2 - Dr. Joel Wallach,csNADGxHRhU,High,filename,Wallach named in title,,minerals; diabetes; cancer; cardiovascular; diet/nutrition; lecture-flagship,85759,16142
Black Gene Lies-X7GsmKyT9Ok.en.vtt,Black Gene Lies,X7GsmKyT9Ok,High,content-peek,Strong Wallach cues (3),,cardiovascular; diet/nutrition; bones/joints; youngevity-product; lecture-flagship,5992,1138
Brian Krater： From Addiction to Health Freedom： What 30 Years Revealed! DWD 4⧸15⧸26-N1rqElQW6Es.en.vtt,Brian Krater： From Addiction to Health Freedom： What 30 Years Revealed! DWD 4⧸15⧸26,N1rqElQW6Es,Exclude,filename,Primary speaker: Brian Krater (guest interview),Brian Krater (guest interview),energy/fatigue; brain/cognitive,60296,11382
CANCER DISEASE BY DR. JOEL WALLACH-V7dV-FdQi6s.en.vtt,CANCER DISEASE BY DR. JOEL WALLACH,V7dV-FdQi6s,High,filename,Wallach named in title,,selenium; diabetes; cancer; cardiovascular; stroke; diet/nutrition; gluten; lung/respiratory; longevity; youngevity-product,4640,878
CARDIOVASCULAR DISEASE BY DR. JOEL WALLACH-Yuy2bl-LK2g.en.vtt,CARDIOVASCULAR DISEASE BY DR. JOEL WALLACH,Yuy2bl-LK2g,High,filename,Wallach named in title,,minerals; cardiovascular; stroke; cholesterol; diet/nutrition; gluten; brain/cognitive,5628,951
CATATONIC SCHIZOPHRENIA - DR. JOEL WALLACH-iof_0bCZj2w.en.vtt,CATATONIC SCHIZOPHRENIA - DR. JOEL WALLACH,iof_0bCZj2w,High,filename,Wallach named in title,,obesity; cardiovascular; autism/adhd; diet/nutrition; gluten; skin/hair; sleep; brain/cognitive,2904,530
CHILDHOOD AUTISM - DR LOEL WALLACH-aVbHZNrYmIg.en.vtt,CHILDHOOD AUTISM - DR LOEL WALLACH,aVbHZNrYmIg,High,filename,Wallach named in title,,obesity; autism/adhd; gluten; salt,2653,522
CHRONIC MUSCLE CRAMPS - DR. JOEL WALLACH-8uTD1ZMnM5A.en.vtt,CHRONIC MUSCLE CRAMPS - DR. JOEL WALLACH,8uTD1ZMnM5A,High,filename,Wallach named in title,,diabetes; arthritis; cancer; cardiovascular; diet/nutrition; gluten; skin/hair; bones/joints; muscles; brain/cognitive,3180,615
CHRONIC OBSTRUCTITE PULMONARY DISIASE - DR. JOEL WALLACH-3cf4HOn14Lc.en.vtt,CHRONIC OBSTRUCTITE PULMONARY DISIASE - DR. JOEL WALLACH,3cf4HOn14Lc,High,filename,Wallach named in title,,cardiovascular; diet/nutrition; gluten; lung/respiratory; skin/hair; brain/cognitive; hormones/reproductive,4025,769
CHRONIC SORE THROAT - DR. JOEL WALLACH-ezqILtv-43g.en.vtt,CHRONIC SORE THROAT - DR. JOEL WALLACH,ezqILtv-43g,High,filename,Wallach named in title,,diabetes; arthritis; osteoporosis; cardiovascular; diet/nutrition; gluten; bones/joints; brain/cognitive,4852,966
CHRONIC STOMACH PAIN - DR. JOEL WALLACH-MU1SD8pH_QY.en.vtt,CHRONIC STOMACH PAIN - DR. JOEL WALLACH,MU1SD8pH_QY,High,filename,Wallach named in title,,cardiovascular; diet/nutrition; gluten; skin/hair; bones/joints; brain/cognitive,4447,863
CONGESTION AND DRY COUGH - DR. JOEL WALLACH-Kl6X6ZoU0xI.en.vtt,CONGESTION AND DRY COUGH - DR. JOEL WALLACH,Kl6X6ZoU0xI,High,filename,Wallach named in title,,obesity; cancer; cardiovascular; gluten; lung/respiratory; skin/hair; brain/cognitive,3143,628
CONGESTIVE HEART FAILURE - DR. JOEL WALLACH-8IK_7GC7FkE.en.vtt,CONGESTIVE HEART FAILURE - DR. JOEL WALLACH,8IK_7GC7FkE,High,filename,Wallach named in title,,diabetes; cardiovascular; gluten; skin/hair; brain/cognitive,4136,774
CONTACT DERMATITIS - DR. JOEL WALLACH-o5VfmZx9CN0.en.vtt,CONTACT DERMATITIS - DR. JOEL WALLACH,o5VfmZx9CN0,High,filename,Wallach named in title,,obesity; cardiovascular; liver; diet/nutrition; gluten; salt; skin/hair; brain/cognitive,4359,836
CRACKING AND POPPING NECK - DR. JOEL WALLACH-JpHvaPclqqM.en.vtt,CRACKING AND POPPING NECK - DR. JOEL WALLACH,JpHvaPclqqM,High,filename,Wallach named in title,,diabetes; obesity; diet/nutrition; gluten; bones/joints; brain/cognitive,3503,693
Calcified Tendons and Bone Spurs  - Dr. Joel Wallach-exkqLhxp9dQ.en.vtt,Calcified Tendons and Bone Spurs  - Dr. Joel Wallach,exkqLhxp9dQ,High,filename,Wallach named in title,,selenium; calcium; diabetes; obesity; cardiovascular; diet/nutrition; skin/hair; bones/joints; muscles; sleep; energy/fatigue; brain/cognitive; longevity; youngevity-product,4830,881
"Cereal Killers - Dr. Joel Wallach - Danger of Wheat, Gluten & Grains Youngevity Classic Lecture-eUO948nRAZE.en.vtt","Cereal Killers - Dr. Joel Wallach - Danger of Wheat, Gluten & Grains Youngevity Classic Lecture",eUO948nRAZE,High,filename,Wallach named in title,,cardiovascular; liver; diet/nutrition; gluten; lung/respiratory; youngevity-product,69721,12896
Chemotherapy 97% Failure Rate... Selenium 82% Success Rate-rfcNTOGk7WM.en.vtt,Chemotherapy 97% Failure Rate... Selenium 82% Success Rate,rfcNTOGk7WM,Moderate,content-peek,Wallach cues (1),,selenium; cancer; diet/nutrition,4122,750
Collagen Peptides - Collagen Booster-OD07hncAd7g.en.vtt,Collagen Peptides - Collagen Booster,OD07hncAd7g,Exclude,filename,Primary speaker: Collagen product video,Collagen product video,skin/hair; bones/joints; muscles; energy/fatigue; youngevity-product,977,159
Controlling Type 2 Diabetes - Dr. Joel Wallach-lRY8_eGeFq8.en.vtt,Controlling Type 2 Diabetes - Dr. Joel Wallach,lRY8_eGeFq8,High,filename,Wallach named in title,,diabetes; obesity; cardiovascular; cholesterol; diet/nutrition; gluten; skin/hair; muscles; brain/cognitive,7404,1421
D Stress Video   Marilyn-l-7M0K2AfN8.en.vtt,D Stress Video   Marilyn,l-7M0K2AfN8,Moderate,content-peek,Wallach cues (1),,minerals; magnesium; muscles; energy/fatigue; youngevity-product,651,92
DEAD DOCTORS DON'T LIE - Full original 1994 - Dr Joel Wallach-owMOrfVHizc.en.vtt,DEAD DOCTORS DON'T LIE - Full original 1994 - Dr Joel Wallach,owMOrfVHizc,High,filename,Wallach named in title,,minerals; diet/nutrition; longevity; lecture-flagship,88806,16475
DEAD DOCTORS DON'T LIE Full original 1994   Dr Joel Wallach-4u4bEuLO9uI.en.vtt,DEAD DOCTORS DON'T LIE Full original 1994   Dr Joel Wallach,4u4bEuLO9uI,High,filename,Wallach named in title,,minerals; diet/nutrition; lecture-flagship,88872,16509
